Approval number	Name	Place	Region	Associated Activities	Remark	adr2	lat	lng
RS-47-017	DOO  Beli Lovac 	Sremski Karlovci	Južno-bački okrug	CAT2, CAT3		DOO  Beli Lovac  , Sremski Karlovci , Južno-bački okrug , Serbia	45.2037357	19.9364586
RS-47-018	Lovačko Udruženje  Senta 	Gornji Breg	Severno-banatski okrug	CAT3		Lovačko Udruženje  Senta  , Gornji Breg , Severno-banatski okrug , Serbia	45.8123872	19.6303582
RS-47-019	Lovačko Udruženje  Srpski Krstur 	Srpski Krstur	Severno-banatski okrug	CAT3		Lovačko Udruženje  Srpski Krstur  , Srpski Krstur , Severno-banatski okrug , Serbia	46.12503479999999	20.098784
RS-47-020	Udruzenje lovaca  Jastreb-Sanad 	Sanad	Severno-banatski okrug	CAT3		Udruzenje lovaca  Jastreb-Sanad  , Sanad , Severno-banatski okrug , Serbia	45.9795775	20.1140543
RS-47-021	Lovačko Društvo  Mića Popović 	Barajevo	Grad Beograd	CAT2, CAT3		Lovačko Društvo  Mića Popović  , Barajevo , Grad Beograd , Serbia	44.6034915	20.45241
RS-47-022	Lovačko Društvo  Svetozar Berić 	Kumane	Srednje-banatski okrug	CAT2, CAT3		Lovačko Društvo  Svetozar Berić  , Kumane , Srednje-banatski okrug , Serbia	45.8123872	19.6303582
RS-47-023	Lovačko Udruženje  Jedinstvo 	Elemir	Srednje-banatski okrug	CAT3		Lovačko Udruženje  Jedinstvo  , Elemir , Srednje-banatski okrug , Serbia	45.4508461	20.2846322
RS-47-024	Lovacko Udruzenje  Nova Crnja 	Radojevo	Srednje-banatski okrug	CAT2, CAT3		Lovacko Udruzenje  Nova Crnja  , Radojevo , Srednje-banatski okrug , Serbia	45.8123872	19.6303582
RS-47-025	Lovacko Udruzenje  Panonija 	Mol	Severno-banatski okrug	CAT2, CAT3		Lovacko Udruzenje  Panonija  , Mol , Severno-banatski okrug , Serbia	45.8123872	19.6303582
RS-47-027	CAPRIOLO T.L.U.  BACKA TOPOLA	Backa Topola	Severno-bački okrug	CAT3		CAPRIOLO T.L.U.  BACKA TOPOLA , Backa Topola , Severno-bački okrug , Serbia	45.8169623	19.6374304
RS-47-037	NP  Fruška Gora  Lovište  Vorovo 	Erdevik	Sremski okrug	CAT2, CAT3		NP  Fruška Gora  Lovište  Vorovo  , Erdevik , Sremski okrug , Serbia	45.223326	19.8424956
RS-47-062	JP  Vojvodinašume 	Kać	Južno-bački okrug	CAT3		JP  Vojvodinašume  , Kać , Južno-bački okrug , Serbia	45.2522391	19.8673122
RS-47-067	Lovačko Udruženje  Nadalj 	Nadalj	Južno-bački okrug	CAT2, CAT3		Lovačko Udruženje  Nadalj  , Nadalj , Južno-bački okrug , Serbia	45.5096935	19.922858
RS-47-085	Lovačko Udruženje  Gornji Tamiš 	Sečanj	Srednje-banatski okrug	CAT3		Lovačko Udruženje  Gornji Tamiš  , Sečanj , Srednje-banatski okrug , Serbia	45.8123872	19.6303582
RS-47-096	Lovačko Udruženje  Hajduk Veljko-Petrović1896 -Negotin	Negotin	Borski okrug	CAT3		Lovačko Udruženje  Hajduk Veljko-Petrović1896 -Negotin , Negotin , Borski okrug , Serbia	44.2265416	22.5305426
RS-47-112	L.U. Becej  Becej	Bečej	Južno-bački okrug	CAT3		L.U. Becej  Becej , Bečej , Južno-bački okrug , Serbia	45.6138162	20.0459853
RS-34-001	Veterinarski Zavod Subotica	Subotica	Severno-bački okrug	CAT3		Veterinarski Zavod Subotica , Subotica , Severno-bački okrug , Serbia	46.0780386	19.679212
RS-34-006	TAS-MIX 	Vrbas	Južno-bački okrug	CAT3		TAS-MIX  , Vrbas , Južno-bački okrug , Serbia	45.565968	19.647063
RS-34-008	FARMINA PET FOODS	Inđija	Sremski okrug	CAT3		FARMINA PET FOODS , Inđija , Sremski okrug , Serbia	45.0457922	20.1012641
RS-34-010	IM Topola	Bačka Topola	Severno-bački okrug	CAT3		IM Topola , Bačka Topola , Severno-bački okrug , Serbia	45.7955541	19.6325594
RS-34-014	Premil 	Kovin	Južno-banatski okrug	CAT3		Premil  , Kovin , Južno-banatski okrug , Serbia		
RS-34-015	Gebi 	Čantavir	Severno-bački okrug	CAT3		Gebi  , Čantavir , Severno-bački okrug , Serbia	45.9299515	19.7577252
RS-34-016	KOMPONENTA 	Ćuprija	Pomoravski okrug	CAT3		KOMPONENTA  , Ćuprija , Pomoravski okrug , Serbia	43.933335	21.3821095
RS-34-018	FSH JABUKA  AD	Pančevo	Južno-banatski okrug	CAT3		FSH JABUKA  AD , Pančevo , Južno-banatski okrug , Serbia	44.934002	20.6642134
RS-34-019	Čizman S 	Beograd (Palilula)	Grad Beograd	CAT3		Čizman S  , Beograd (Palilula) , Grad Beograd , Serbia	44.786568	20.4489216
RS-43-001	UČA 	Vranovo	Podunavski okrug	CAT2		UČA  , Vranovo , Podunavski okrug , Serbia	44.5999576	20.9941639
RS-43-002	Dom Za Omladinu I Decu Ometenu U Razvoju 	Sremčica	Grad Beograd	CAT2		Dom Za Omladinu I Decu Ometenu U Razvoju  , Sremčica , Grad Beograd , Serbia	44.6891164	20.3790759
RS-43-003	Compost Group 	Vršac	Južno-banatski okrug	CAT2		Compost Group  , Vršac , Južno-banatski okrug , Serbia	45.1181926	21.2944883
RS-43-004	CHAMPICOMP 	Pločica	Južno-banatski okrug	CAT2		CHAMPICOMP  , Pločica , Južno-banatski okrug , Serbia	44.73912869999999	20.8856039
RS-47-095	DOO DOLINA GRUZE, VITKOVAC, KRALJEVO	Kraljevo	Raški okrug	CAT2, CAT3		DOO DOLINA GRUZE, VITKOVAC, KRALJEVO , Kraljevo , Raški okrug , Serbia	43.793784	20.785828
RS-47-105	EKOPATENT  VRBAS NJEGOSEVA 1	Vrbas	Južno-bački okrug	CAT2		EKOPATENT  VRBAS NJEGOSEVA 1 , Vrbas , Južno-bački okrug , Serbia	45.5671679	19.6498228
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	PP	37, O, P	SZTR DJURDJEVIC , Pećinci , Sremski okrug , Serbia	44.861527	19.9596111
RS-949	PANONIJA TRADE  NOVI SAD	Novi Sad	Južno-bački okrug	PP	37, O, P	PANONIJA TRADE  NOVI SAD , Novi Sad , Južno-bački okrug , Serbia	45.2980058	19.8300996
RS-562	KOTEKS VISCOFAN  NOVI SAD	Novi Sad	Južno-bački okrug	PP	B	KOTEKS VISCOFAN  NOVI SAD , Novi Sad , Južno-bački okrug , Serbia	45.29483	19.795089
RS-47-053	DAFAR , ZRENJANIN	Zrenjanin	Srednje-banatski okrug	PP	B	DAFAR , ZRENJANIN , Zrenjanin , Srednje-banatski okrug , Serbia	45.3587613	20.4102455
RS-26	TAKOVO 	Inđija	Sremski okrug	CS, LEP, PP		TAKOVO  , Inđija , Sremski okrug , Serbia	45.0295757	20.0986916
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	PP		SZTR DJURDJEVIC , Pećinci , Sremski okrug , Serbia	44.861527	19.9596111
RS-542	DNV TRANZIT 	Vrbas	Južno-bački okrug	PP		DNV TRANZIT  , Vrbas , Južno-bački okrug , Serbia	45.5813442	19.6237138
RS-542	AGRO-PAPUK	Šid	Sremski okrug			AGRO-PAPUK , Šid , Sremski okrug , Serbia	45.1296313	19.2235917
RS-542	DNV TRANZIT 	Vrbas	Južno-bački okrug			DNV TRANZIT  , Vrbas , Južno-bački okrug , Serbia	45.5813442	19.6237138
RS-1	Yuhor AD	Jagodina	Pomoravski okrug	CS, PP	Aq	Yuhor AD , Jagodina , Pomoravski okrug , Serbia	43.973084	21.2883853
RS-64	CARNEX  VRBAS	Vrbas	Južno-bački okrug	CS, PP	Aq	CARNEX  VRBAS , Vrbas , Južno-bački okrug , Serbia	45.5927049	19.5871902
RS-127	AD   NEOPLANTA   Novi Sad	Novi Sad	Južno-bački okrug	CS, PP	Aq	AD   NEOPLANTA   Novi Sad , Novi Sad , Južno-bački okrug , Serbia	45.2895003	19.7894185
RS-6017	ANCORA NUOVA 	Dobanovci	Grad Beograd	CS, PP	Aq	ANCORA NUOVA  , Dobanovci , Grad Beograd , Serbia	44.8524952	20.20724
RS-6019	Dtd Ribarstvo 	Bački Jarak	Južno-bački okrug	PP	Aq	Dtd Ribarstvo  , Bački Jarak , Južno-bački okrug , Serbia	45.3697043	19.8875499
RS-6021	Vasovic  Čačak	Čačak	Moravički okrug	CS		Vasovic  Čačak , Čačak , Moravički okrug , Serbia	43.909039	20.399057
RS-6022	LOVO PROMET , CAMURLIJSKI PUT BB	Niš	Nišavski okrug	CS, PP	Aq	LOVO PROMET , CAMURLIJSKI PUT BB , Niš , Nišavski okrug , Serbia	43.3573904	21.851484
RS-6026	KRISTAL SO  BEOGRAD	Krnješevci	Sremski okrug	CS, PP	Aq	KRISTAL SO  BEOGRAD , Krnješevci , Sremski okrug , Serbia	44.8831984	20.12647
RS-6030	Tunalux  Beograd	Inđija	Sremski okrug	CS, PP	Aq	Tunalux  Beograd , Inđija , Sremski okrug , Serbia	45.0373163	20.0926102
RS-6033	BARBE SEAFOOD  BEOGRAD	Požega	Zlatiborski okrug	CS, PP	Aq	BARBE SEAFOOD  BEOGRAD , Požega , Zlatiborski okrug , Serbia	44.786568	20.4489216
RS-20044	Principal Duo 	Čačak	Moravički okrug	CS		Principal Duo  , Čačak , Moravički okrug , Serbia	43.8620347	20.386154
RS-20514	Principal Duo 	Sopot	Grad Beograd	CS		Principal Duo  , Sopot , Grad Beograd , Serbia	44.518329	20.5726718
RS-617	FINACOMEX 	Ruma	Sremski okrug	CS, PP	fl, sn	FINACOMEX  , Ruma , Sremski okrug , Serbia	45.0079235	19.8226157
RS-859	SIM-IMEX  RUSKO SELO	Kikinda	Severno-banatski okrug	CS, PP	sn	SIM-IMEX  RUSKO SELO , Kikinda , Severno-banatski okrug , Serbia	45.7304247	20.579738
RS-20830	LEDEREX  PIROT	Pirot	Pirotski okrug	CS, PP	fl	LEDEREX  PIROT , Pirot , Pirotski okrug , Serbia	43.1557012	22.5856811
RS-40001	NISHA 	Sečanj	Srednje-banatski okrug	CS, PP	sn	NISHA  , Sečanj , Srednje-banatski okrug , Serbia		
RS-20830	LEDEREX  PIROT	Pirot	Pirotski okrug		sn, fl	LEDEREX  PIROT , Pirot , Pirotski okrug , Serbia	43.1557012	22.5856811
RS-47-053	DAFAR , ZRENJANIN	Zrenjanin	Srednje-banatski okrug	PP	B	DAFAR , ZRENJANIN , Zrenjanin , Srednje-banatski okrug , Serbia	45.3587613	20.4102455
RS-73	FRIKOM  Beograd	Padinska Skela	Grad Beograd	CS, PP	27	FRIKOM  Beograd , Padinska Skela , Grad Beograd , Serbia	44.922957	20.4415059
RS-77	FRONERI ADRIATIC 	Stara Pazova	Sremski okrug	CS, PP	27, B	FRONERI ADRIATIC  , Stara Pazova , Sremski okrug , Serbia	44.9869601	20.2056686
RS-153	AD IMLEK	Padinska Skela	Grad Beograd	CS, PP	B	AD IMLEK , Padinska Skela , Grad Beograd , Serbia	44.92837950000001	20.43957
RS-154	MLEKARA ŠABAC AKCIONARSKO DRUŠTVO	Šabac	Mačvanski okrug	CS, PP	B	MLEKARA ŠABAC AKCIONARSKO DRUŠTVO , Šabac , Mačvanski okrug , Serbia	44.7854903	19.6781874
RS-156	AD IMLEK	Subotica	Severno-bački okrug	CS, PP	B	AD IMLEK , Subotica , Severno-bački okrug , Serbia	46.0655654	19.6859514
RS-579	SOMBOLED 	Sombor	Zapadno-bački okrug	CS, PP	B	SOMBOLED  , Sombor , Zapadno-bački okrug , Serbia	45.7888688	19.1034027
RS-10289	MEGGLE SRBIJA	Kragujevac	Šumadijski okrug	CS, PP	B	MEGGLE SRBIJA , Kragujevac , Šumadijski okrug , Serbia	44.0229472	20.9281307
RS-10838	ICE PLANET&CO 	Nova Pazova	Sremski okrug	CS, PP	27, B	ICE PLANET&CO  , Nova Pazova , Sremski okrug , Serbia	44.9442659	20.2192192
RS-12108	Swisslion 	Gornji Milanovac	Moravički okrug	CS, PP	27	Swisslion  , Gornji Milanovac , Moravički okrug , Serbia	44.0151298	20.4598025
RS-12293	Beocapra 	Kukujevci	Sremski okrug	PP		Beocapra  , Kukujevci , Sremski okrug , Serbia	45.0708085	19.3376528
RS-91	Vindija 	Plandište	Južno-banatski okrug	CP, SH	17, A	Vindija  , Plandište , Južno-banatski okrug , Serbia	45.2151954	21.1088991
RS-300	PJ Klanica Zlatiborac	Čajetina	Zlatiborski okrug	CP, CS	17, A	PJ Klanica Zlatiborac , Čajetina , Zlatiborski okrug , Serbia	43.7493507	19.7106957
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	CP, CS	17, A	SZTR DJURDJEVIC , Pećinci , Sremski okrug , Serbia	44.861527	19.9596111
RS-676	SUPERIOR FOODS 	Šid	Sremski okrug	CP, CS, SH	17, A	SUPERIOR FOODS  , Šid , Sremski okrug , Serbia	45.1224366	19.2209294
RS-1	Yuhor AD	Jagodina	Pomoravski okrug	CP, SH	14, 15, B, P	Yuhor AD , Jagodina , Pomoravski okrug , Serbia	43.973084	21.2883853
RS-59	MITROS FLEISCHWAREN 	Sremska Mitrovica	Sremski okrug	CP, CS, SH	14, 15, B, P	MITROS FLEISCHWAREN  , Sremska Mitrovica , Sremski okrug , Serbia	44.9794968	19.6209662
RS-64	CARNEX  VRBAS	Vrbas	Južno-bački okrug	CP, CS, SH	14, 15, B, P	CARNEX  VRBAS , Vrbas , Južno-bački okrug , Serbia	45.5927049	19.5871902
RS-127	AD   NEOPLANTA   Novi Sad	Novi Sad	Južno-bački okrug	CP, SH	14, 15, B, P	AD   NEOPLANTA   Novi Sad , Novi Sad , Južno-bački okrug , Serbia	45.2895003	19.7894185
RS-158	DOO PAVLOVIC CUPRIJA, SUPSKA BB	Ćuprija	Pomoravski okrug	CP, CS, SH	B	DOO PAVLOVIC CUPRIJA, SUPSKA BB , Ćuprija , Pomoravski okrug , Serbia	43.927509	21.3836
RS-204	IM TOPOLA 	Bačka Topola	Severno-bački okrug	CP, SH	14, 15, B, P	IM TOPOLA  , Bačka Topola , Severno-bački okrug , Serbia	45.7955541	19.6325594
RS-300	PJ Klanica Zlatiborac	Čajetina	Zlatiborski okrug	CP, CS	14, 15, B, P	PJ Klanica Zlatiborac , Čajetina , Zlatiborski okrug , Serbia	43.7493507	19.7106957
RS-491	Kompanija Big Bull Foods 	Bačinci	Sremski okrug	CP, SH	14, 15, B, P	Kompanija Big Bull Foods  , Bačinci , Sremski okrug , Serbia	45.0830488	19.2981564
RS-643	SZTR DJURDJEVIC	Pećinci	Sremski okrug	CP, SH	B	SZTR DJURDJEVIC , Pećinci , Sremski okrug , Serbia	44.861527	19.9596111
RS-1170	KOTEKS  SURCIN INDUSTRIJA MESA	Beograd (Novi Beograd)	Grad Beograd	SH	B	KOTEKS  SURCIN INDUSTRIJA MESA , Beograd (Novi Beograd) , Grad Beograd , Serbia	44.8099561	20.380088
RS-542	AGRO-PAPUK	Šid	Sremski okrug	CP, CS, SH	14, 15, B, P	AGRO-PAPUK , Šid , Sremski okrug , Serbia	45.1296313	19.2235917
